,EUMA MEMBER (ENGLISH NAME),EUMA MEMBER (ORIGINAL NAME),ACRONYM,COUNTRY,WEB PAGE,No. OF MEMBERS,MEMBER SINCE,MEMBER TYPE
1,Albanian Mountaineering Federation,Federata Shqiptare për Alpinizëm dhe Ngjitje,FSHALTM,Albania,https://fshaltm.com/,450,2017,FULL
2,Alpine Association of Slovenia,Planinska zveza Slovenije,PZS,Slovenia,https://www.pzs.si/,61523,2017,FULL
3,Austrian Alpine Club,Österreichischer Alpenverein,ÖAV/OeAV,Austria,https://www.alpenverein.at,598757,2017,FULL
4,British Mountaineering Council,British Mountaineering Council,BMC,United Kingdom,https://www.thebmc.co.uk/,59724,2017,FULL
5,Climbing and Mountaineering Belgium,Federation nationale Vereniging zonder winstoogmerk,CMBEL,Belgium,https://www.cmbel.be/,18343,2017,FULL
6,Croatian Mountaineering Association,Hrvatski planinarski savez,HPS,Croatia,http://www.hps.hr/,27206,2017,FULL
7,Czech Mountaineering Federation,Český horolezecký svaz,CHS,Czech Republic,https://www.horosvaz.cz/,17800,2017,FULL
8,Federation of French Alpine and Mountain Clubs,Fédération française des clubs alpins et de montagne,FFCAM,France,https://www.ffcam.fr/,91158,2017,FULL
9,German Alpine Club,Deutscher Alpenverein,DAV,Germany,https://www.alpenverein.de/,1351247,2017,FULL
10,Hellenic Federation of Mountaineering and Climbing,Ελληνική Ομοσπονδία Ορειβασίας – Αναρρίχησης,EOOA,Greece,http://www.eooa.gr/,6500,2017,FULL
11,Italian Alpine Club,Club Alpino Italiano,CAI,Italy,http://www.cai.it/,327391,2017,FULL
12,Liechtensteiner Alpine Club,Liechtensteiner Alpenverein,LAV,Liechtenstein,http://www.alpenverein.li/,2902,2017,FULL
13,Mountaineering Federation of North Macedonia,Федерација за планинарство на Северна Македонија,FPSM,North Macedonia,http://www.fpsm.org.mk/,2980,2017,FULL
14,Malta Climbing Club,Malta Climbing Club,MCC,Malta,https://maltaclimbingclub.org/,137,2017,FULL
15,Mountaineering and Climbing Federation of Cyprus,"Κυπριακή Ομοσπονδία Ορειβασίας, Αγωνιστικής Αναρρίχησης και Προσανατολισμου",KOMOAAP,Cyprus,https://www.komoaap.eu/,320,2017,FULL
16,Mountaineering Association of Montenegro,Planinarski Savez Crne Gore,PSCG,Montenegro,http://pscg.me/,500,2017,FULL
17,Mountaineering Association of Serbia,Planinarski savez Srbije,PSS,Serbia,https://pss.rs/,19343,2017,FULL
18,Norwegian Climbing Federation,Norges klatreforbund,NKF,Norway,https://klatring.no/,27831,2017,FULL
19,Polish Mountaineering Association,Polski Związek Alpinizmu,PZA,Poland,http://pza.org.pl/,3977,2017,FULL
20,Romanian Alpine Club,Clubul Alpin Român,CAR,Romania,https://www.clubulalpinroman.net/,407,2017,FULL
21,Royal Dutch Mountaineering and Climbing Club,Koninklijke Nederlandse Klim- en Bergsport Vereniging,NKBV,Netherlands,https://www.nkbv.nl/,65596,2017,FULL
22,Slovak Mountaineering Union,Slovensky Horolezecky Spolok JAMES,JAMES,Slovakia,http://www.james.sk/,7110,2017,FULL
23,Spanish Mountain Sports and Climbing Federation,Federación Española de Deportes de Montaña y Escalada,FEDME,Spain,http://www.fedme.es/,119251,2017,FULL
24,Mountaineering Union of Federation Bosnia and Herzegovina,Planinarski savez Bosne i Hercegovine,PSBIH,Bosnia and Herzegovina,https://psbih.ba/,6240,2019,FULL
25,"Luxembourg Federation of Climbing, Sport Hiking and Mountaineering","Fédération Luxembourgeoise d’Escalade, de Randonnée Sportive et d’Alpinisme",FLERA,Luxembourg,https://flera.lu/,650,2021,FULL
26,Bulgarian Tourist Union,Български Туристически Съюз,BTS,Bulgaria,https://www.btsbg.org/,2500,2022,FULL
27,Hungarian Mountaineering and Sport Climbing Association,Magyar Hegy- és Sportmászó Szövetség,MHSSZ,Hungary,https://mhssz.hu/,2500,2022,FULL
1,Portuguese Alpine Club,Clube Nacional de Montanhismo,CNM,Portugal,http://www.cnm.org.pt,53,2017,ASSOCIATED
2,Camping and Mountaineering Federation of Portugal,Federação de Campismo e Montanhismo de Portugal,FCMP,Portugal,http://www.fcmportugal.com/,900,2017,ASSOCIATED
3,Alpine Club South Tyrol,Alpenverein Südtirol,AVS,Italy,https://www.alpenverein.it,71809,2018,ASSOCIATED
4,Macedonian Sport Climbing Federation of North Macedonia,Македонска Спортска Качувачка Федерација,MSCF,North Macedonia,http://www.climbing.mk/,200,2021,ASSOCIATED
5,Norwegian Trekking Association,Den Norske Turistforening,DNT,Norway,https://www.dnt.no/,310000,2022,ASSOCIATED
6,Transylvanian Carpathian Tourists Association,Asociația Carpatină Ardeleană a Turiștilor,SKV,Romania,https://skv.ro/,600,2022,ASSOCIATED
1,Balkan Mountaineering Union,Balkan Mountaineering Union,BMU,Regional organization,http://www.bmumagazine.com,0,2018,COLLABORATING
2,Club Arc Alpin,Club Arc Alpin,CAA,Regional organization,https://www.club-arc-alpin.eu/en/,0,2019,COLLABORATING